Sl No.,Label,Calorie,Carbohydrate,Protien,Sugar,Cholestrol,Fat
1,Aloogobi,208,20.9g,2.7g,5.6g,0g,11.3g
2,Appam,99,19.2g,1.6g,3g,0g,1.8g
3,Apple,52,13.8g,0.3g,10.4g,0g,0.2g
4,Avial,71,5.1g,2g,0g,2g,4.5g
5,Biriyani,321,38g,15g,9g,35g,14g
6,Boiledegg,78,1g,6g,1g,186mg,5.3g
7,Burger,622,42g,30g,6g,0g,36g
8,Chanamasala,100,12g,6g,0g,0g,3g
9,Chappathi,120,19g,4g,1g,0g,4g
10,Chicken,284,0g,53g,0g,88mg,6.1g
11,Chickencurry,286,47g,15g,2g,53mg,3.6g
12,Dosa,55,12g,1g,0.1g,0g,0.1g
13,Fish fry,167,33g,29g,0g,100g,9g
14,Frenchfries,418,56g,5g,0g,0g,19.7g
15,Omelette,98,1.15g,6.81g,1.17g,213mg,7g
16,Pappadam,29,3.4g,1.3g,0.6g,0mg,1.1g
17,Pomgranate,128,29g,3g,21g,0g,1.8g
18,Rice,205,45g,4.3g,0.1g,0g,0.4g
